[Thu Jan 14 19:16:09 2016]	[client: 121.54.54.170] [file: core.class.php] - [Device ID: 1ce037337eb21bff, Platform: android, PUSH ID: APA91bE3tqNxXTryHuLVsnyrqz-BjmnEzq2zlqTt80k5UNhbMptFqTM8gYQ92-5TKijS9myGaKD3ZUJQHYXcInrduO656I0ZwjwThKispS8X17Fhacp-kOs94-hmOHaY6c87GJzDD7vD]	 Status: [Existing]
[Thu Jan 14 19:16:09 2016]	[client: 121.54.54.170] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: 1ce037337eb21bff, Platform: android, PUSH ID: APA91bE3tqNxXTryHuLVsnyrqz-BjmnEzq2zlqTt80k5UNhbMptFqTM8gYQ92-5TKijS9myGaKD3ZUJQHYXcInrduO656I0ZwjwThKispS8X17Fhacp-kOs94-hmOHaY6c87GJzDD7vD]
[Thu Jan 14 19:19:19 2016]	[client: 112.208.21.39] [file: core.class.php] - [Device ID: FFD9D3CC-5D82-41E3-9DEE-B96AAE486FE9, Platform: ios, PUSH ID: 1699d7097ce790c8b1d4eed60bc6f55b84171227ab64ca702124a4168e187f4e]	 Status: [Success]
[Thu Jan 14 20:06:56 2016]	[client: 112.208.21.39] [file: core.class.php] - [Device ID: b2b3c811662ebf43, Platform: android, PUSH ID: APA91bE1nAKAAlMTmYXsk5BWCK6vULfc9_qtaXGF4sEoYMXOl5rtu73dz2ou6vBDsdutW5WKWuEdF6tEpb0OcQ77TRMX21BUUo7oEq1JQSsx3wWiFMNLQeLGjT318bA3Ff5TuguUwEbD]	 Status: [Success]
[Thu Jan 14 20:06:57 2016]	[client: 112.208.21.39] [file: core.class.php] - [Device ID: b2b3c811662ebf43, Platform: android, PUSH ID: APA91bE1nAKAAlMTmYXsk5BWCK6vULfc9_qtaXGF4sEoYMXOl5rtu73dz2ou6vBDsdutW5WKWuEdF6tEpb0OcQ77TRMX21BUUo7oEq1JQSsx3wWiFMNLQeLGjT318bA3Ff5TuguUwEbD]	 Status: [Existing]
[Thu Jan 14 20:18:53 2016]	[client: 112.208.21.39] [file: core.class.php] - [Device ID: 4687d9ce1661b965, Platform: android, PUSH ID: APA91bHAwjHFksGWlok-Lh9b_yzLI7FCRAH3QyZkvlMcZe1mw9se8Z8ZtwTr__jhxFmngQnPjSgonc2eGC_kCiTKCa_0iDfV5m6vk2wxw6FK0sUs1pt3jW_xTse5Npz3oPOOPcmEqCFN]	 Status: [Success]
[Thu Jan 14 20:18:54 2016]	[client: 112.208.21.39] [file: core.class.php] - [Device ID: 4687d9ce1661b965, Platform: android, PUSH ID: APA91bHAwjHFksGWlok-Lh9b_yzLI7FCRAH3QyZkvlMcZe1mw9se8Z8ZtwTr__jhxFmngQnPjSgonc2eGC_kCiTKCa_0iDfV5m6vk2wxw6FK0sUs1pt3jW_xTse5Npz3oPOOPcmEqCFN]	 Status: [Existing]
[Thu Jan 14 20:28:35 2016]	[client: 112.208.21.39] [file: core.class.php] - [Device ID: 4687d9ce1661b965, Platform: android, PUSH ID: APA91bHAwjHFksGWlok-Lh9b_yzLI7FCRAH3QyZkvlMcZe1mw9se8Z8ZtwTr__jhxFmngQnPjSgonc2eGC_kCiTKCa_0iDfV5m6vk2wxw6FK0sUs1pt3jW_xTse5Npz3oPOOPcmEqCFN]	 Status: [Existing]
[Thu Jan 14 20:28:35 2016]	[client: 112.208.21.39] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: 4687d9ce1661b965, Platform: android, PUSH ID: APA91bHAwjHFksGWlok-Lh9b_yzLI7FCRAH3QyZkvlMcZe1mw9se8Z8ZtwTr__jhxFmngQnPjSgonc2eGC_kCiTKCa_0iDfV5m6vk2wxw6FK0sUs1pt3jW_xTse5Npz3oPOOPcmEqCFN]
[Thu Jan 14 21:19:54 2016]	[client: 112.208.21.39] [file: core.class.php] - [Device ID: 4687d9ce1661b965, Platform: android, PUSH ID: APA91bHAwjHFksGWlok-Lh9b_yzLI7FCRAH3QyZkvlMcZe1mw9se8Z8ZtwTr__jhxFmngQnPjSgonc2eGC_kCiTKCa_0iDfV5m6vk2wxw6FK0sUs1pt3jW_xTse5Npz3oPOOPcmEqCFN]	 Status: [Existing]
[Thu Jan 14 21:19:56 2016]	[client: 112.208.21.39] [file: core.class.php] - [Device ID: 4687d9ce1661b965, Platform: android, PUSH ID: APA91bHAwjHFksGWlok-Lh9b_yzLI7FCRAH3QyZkvlMcZe1mw9se8Z8ZtwTr__jhxFmngQnPjSgonc2eGC_kCiTKCa_0iDfV5m6vk2wxw6FK0sUs1pt3jW_xTse5Npz3oPOOPcmEqCFN]	 Status: [Existing]
