[Fri Jan 29 17:56:36 2016]	[client: 119.94.254.226] [file: core.class.php] - [Device ID: b1f3349405712b87, Platform: android, PUSH ID: APA91bHamU1Fo42syVOTXIdmR0hvVuFZTOr0iCMArMOcy8QVza3Q0ITrIe-cBS55XHkiW5xsf98rD3He0c8nDSmlG_L8oyXmhnhA868pLT_U_sA6Y-oEgavcud5G1HUo56v3hlfxVp6O]	 Status: [Success]
[Fri Jan 29 17:56:37 2016]	[client: 119.94.254.226] [file: core.class.php] - [Device ID: b1f3349405712b87, Platform: android, PUSH ID: APA91bHamU1Fo42syVOTXIdmR0hvVuFZTOr0iCMArMOcy8QVza3Q0ITrIe-cBS55XHkiW5xsf98rD3He0c8nDSmlG_L8oyXmhnhA868pLT_U_sA6Y-oEgavcud5G1HUo56v3hlfxVp6O]	 Status: [Existing]
[Fri Jan 29 17:58:02 2016]	[client: 119.94.254.226] [file: core.class.php] - [Device ID: 5764f7272cbd4df1, Platform: android, PUSH ID: APA91bGH-Wj9WFrfAhQvNSrqM1qmg56dZqiOHa2Abcwv3CUKCe-jx4wZH4zbLJG_qBVBQtbpZXsbgBEmOKOCD3tkJlRyhQYz7k4JuZqiMrx7pgBilSpcHbsxKXd43wmS6RHvPGJaWc0P]	 Status: [Success]
[Fri Jan 29 17:58:03 2016]	[client: 119.94.254.226] [file: core.class.php] - [Device ID: 5764f7272cbd4df1, Platform: android, PUSH ID: APA91bGH-Wj9WFrfAhQvNSrqM1qmg56dZqiOHa2Abcwv3CUKCe-jx4wZH4zbLJG_qBVBQtbpZXsbgBEmOKOCD3tkJlRyhQYz7k4JuZqiMrx7pgBilSpcHbsxKXd43wmS6RHvPGJaWc0P]	 Status: [Existing]
[Fri Jan 29 18:01:06 2016]	[client: 119.94.254.226] [file: core.class.php] - [Device ID: 240a1dd2480ad4c4, Platform: android, PUSH ID: APA91bGxe5pegO1hEuR5X07sjIpb1kObC8r8Qu-PKq_w32xCqKYd_9Z3X9WKRP_kOhpUQiMhK9JI-qY6jFHDnY6nSnn6aY4p5rkYNXlzFel4j2SULl27b2VXlHIzXv77_84IRLlLD-Tc]	 Status: [Existing]
[Fri Jan 29 18:01:06 2016]	[client: 119.94.254.226] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: 240a1dd2480ad4c4, Platform: android, PUSH ID: APA91bGxe5pegO1hEuR5X07sjIpb1kObC8r8Qu-PKq_w32xCqKYd_9Z3X9WKRP_kOhpUQiMhK9JI-qY6jFHDnY6nSnn6aY4p5rkYNXlzFel4j2SULl27b2VXlHIzXv77_84IRLlLD-Tc]
[Fri Jan 29 18:02:10 2016]	[client: 112.198.82.119] [file: core.class.php] - [Device ID: 7f9759f201c1b4bc, Platform: android, PUSH ID: APA91bHGqa3Y3dtRvrYffatWvLWefwop8svMFONbLIdQ47s9ku1CcgE-pfwsGhcvh5xQT_bxEZ-aw22hp5u_YdLlTp2g6YoWCgHGDBLpQQB2j4ylyuG9BNfRJbv_hBGd4JPiRon9qN2t]	 Status: [Success]
[Fri Jan 29 18:02:10 2016]	[client: 112.198.82.119] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: 7f9759f201c1b4bc, Platform: android, PUSH ID: APA91bHGqa3Y3dtRvrYffatWvLWefwop8svMFONbLIdQ47s9ku1CcgE-pfwsGhcvh5xQT_bxEZ-aw22hp5u_YdLlTp2g6YoWCgHGDBLpQQB2j4ylyuG9BNfRJbv_hBGd4JPiRon9qN2t]
[Fri Jan 29 18:05:23 2016]	[client: 119.94.254.226] [file: core.class.php] - [Device ID: 792775ebfe097337, Platform: android, PUSH ID: APA91bG3jLvMk502Q6jyNxV8qffdOORJkHstVqqSkPuZlDiA5VhLh-LX0tr0fNMfKy6kj70Y5Y1aKsifJYWMs4WZWQ1Jx_n_A2mHiddVnAqpsfPoXwM6o0VghqXEh2JZdnwL7IBCQ4a8]	 Status: [Success]
[Fri Jan 29 18:05:23 2016]	[client: 119.94.254.226] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: 792775ebfe097337, Platform: android, PUSH ID: APA91bG3jLvMk502Q6jyNxV8qffdOORJkHstVqqSkPuZlDiA5VhLh-LX0tr0fNMfKy6kj70Y5Y1aKsifJYWMs4WZWQ1Jx_n_A2mHiddVnAqpsfPoXwM6o0VghqXEh2JZdnwL7IBCQ4a8]
[Fri Jan 29 18:18:20 2016]	[client: 112.198.101.40] [file: core.class.php] - [Device ID: 7f9759f201c1b4bc, Platform: android, PUSH ID: APA91bHGqa3Y3dtRvrYffatWvLWefwop8svMFONbLIdQ47s9ku1CcgE-pfwsGhcvh5xQT_bxEZ-aw22hp5u_YdLlTp2g6YoWCgHGDBLpQQB2j4ylyuG9BNfRJbv_hBGd4JPiRon9qN2t]	 Status: [Existing]
