[Thu Jan 21 19:00:30 2016]	[client: 112.208.21.39] [file: core.class.php] - [Device ID: 26212b3bc650cdd, Platform: android, PUSH ID: APA91bFWaPUbwzk-uojVgTL4_MtmYAYZpQKg6u5l7ZNwsi18Q8QqEsy7y176KSQgIuMuMx0SlPy_akZYTTPazJyg64tfN_dAi2kXLiCh9m-1aEMntZjy-4DZIOO3r_6noY2tdd8D6N8S]	 Status: [Success]
[Thu Jan 21 19:00:30 2016]	[client: 112.208.21.39] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: 26212b3bc650cdd, Platform: android, PUSH ID: APA91bFWaPUbwzk-uojVgTL4_MtmYAYZpQKg6u5l7ZNwsi18Q8QqEsy7y176KSQgIuMuMx0SlPy_akZYTTPazJyg64tfN_dAi2kXLiCh9m-1aEMntZjy-4DZIOO3r_6noY2tdd8D6N8S]
[Thu Jan 21 19:02:49 2016]	[client: 112.208.21.39] [file: core.class.php] - [Device ID: 2a33113aa9d51008, Platform: android, PUSH ID: APA91bFYb11tubJpg8dkndIpV5qs7RlsHR8OV8UhqKbYL7me8SR2V1juaEUtKWXecauVpOmXxyG4xsK9Ng2cmU6ePwoLn51VrhjbBdI_ImbunAqpXfqw2xjvCiakfMcDxZHV-UMEpX_B]	 Status: [Success]
[Thu Jan 21 19:02:50 2016]	[client: 112.208.21.39] [file: core.class.php] - [Device ID: 2a33113aa9d51008, Platform: android, PUSH ID: APA91bFYb11tubJpg8dkndIpV5qs7RlsHR8OV8UhqKbYL7me8SR2V1juaEUtKWXecauVpOmXxyG4xsK9Ng2cmU6ePwoLn51VrhjbBdI_ImbunAqpXfqw2xjvCiakfMcDxZHV-UMEpX_B]	 Status: [Existing]
[Thu Jan 21 19:03:21 2016]	[client: 112.208.21.39] [file: core.class.php] - [Device ID: 8a67701883f0f629, Platform: android, PUSH ID: APA91bHj9e1lSbwqonQqriVfwBGGvMHMv4pdsAEVJ9h8xGJ39S_ObI8Iwoptle7Paf0nqHh38eH4KiPsrQkda5Z5j4NFcWeH49Ef7zGcqZnJRp5gVxqlVP3a83lZW8U0VXdva9Vo6tnW]	 Status: [Success]
[Thu Jan 21 19:03:25 2016]	[client: 112.208.21.39] [file: core.class.php] - [Device ID: 8a67701883f0f629, Platform: android, PUSH ID: APA91bHj9e1lSbwqonQqriVfwBGGvMHMv4pdsAEVJ9h8xGJ39S_ObI8Iwoptle7Paf0nqHh38eH4KiPsrQkda5Z5j4NFcWeH49Ef7zGcqZnJRp5gVxqlVP3a83lZW8U0VXdva9Vo6tnW]	 Status: [Existing]
[Thu Jan 21 19:04:28 2016]	[client: 112.208.21.39] [file: core.class.php] - [Device ID: 15ca65f6b00023cc, Platform: android, PUSH ID: APA91bEYjfYAz3pFUH2e2IHJDF4rqkIdeX5CtqahZgoAqL2FGTUFHLdMygt4ST_-JT5HZzRHG1QPZaF5xRZeju7vmm7odaZvZtovOK2IZEwg6tdfOQeHQwM9TYI5rxICUyt6PxVyMFcF]	 Status: [Success]
[Thu Jan 21 19:04:29 2016]	[client: 112.208.21.39] [file: core.class.php] - [Device ID: 15ca65f6b00023cc, Platform: android, PUSH ID: APA91bEYjfYAz3pFUH2e2IHJDF4rqkIdeX5CtqahZgoAqL2FGTUFHLdMygt4ST_-JT5HZzRHG1QPZaF5xRZeju7vmm7odaZvZtovOK2IZEwg6tdfOQeHQwM9TYI5rxICUyt6PxVyMFcF]	 Status: [Existing]
[Thu Jan 21 19:05:54 2016]	[client: 112.208.21.39] [file: core.class.php] - [Device ID: 8e1cdc45a7bba485, Platform: android, PUSH ID: APA91bEnCnEfIi9VcUypkPhljO-_v13LdqUrheejIXO-Jc_hrP7MVqnJ5GqDPfXTeuSr_Yg_qnCsMFxYivs5P1aZD75x4jinjsfmXuUqvUWticvklvbyXJHpXGs8Uxby1fTdIFxJddt4]	 Status: [Existing]
[Thu Jan 21 19:05:55 2016]	[client: 112.208.21.39] [file: core.class.php] - [Device ID: 8e1cdc45a7bba485, Platform: android, PUSH ID: APA91bEnCnEfIi9VcUypkPhljO-_v13LdqUrheejIXO-Jc_hrP7MVqnJ5GqDPfXTeuSr_Yg_qnCsMFxYivs5P1aZD75x4jinjsfmXuUqvUWticvklvbyXJHpXGs8Uxby1fTdIFxJddt4]	 Status: [Existing]
[Thu Jan 21 19:08:30 2016]	[client: 112.208.21.39] [file: core.class.php] - [Device ID: 2a33113aa9d51008, Platform: android, PUSH ID: APA91bFYb11tubJpg8dkndIpV5qs7RlsHR8OV8UhqKbYL7me8SR2V1juaEUtKWXecauVpOmXxyG4xsK9Ng2cmU6ePwoLn51VrhjbBdI_ImbunAqpXfqw2xjvCiakfMcDxZHV-UMEpX_B]	 Status: [Existing]
[Thu Jan 21 19:08:31 2016]	[client: 112.208.21.39] [file: core.class.php] - [Device ID: 2a33113aa9d51008, Platform: android, PUSH ID: APA91bFYb11tubJpg8dkndIpV5qs7RlsHR8OV8UhqKbYL7me8SR2V1juaEUtKWXecauVpOmXxyG4xsK9Ng2cmU6ePwoLn51VrhjbBdI_ImbunAqpXfqw2xjvCiakfMcDxZHV-UMEpX_B]	 Status: [Existing]
[Thu Jan 21 19:15:18 2016]	[client: 112.208.32.15] [file: core.class.php] - [Device ID: 2a33113aa9d51008, Platform: android, PUSH ID: APA91bFYb11tubJpg8dkndIpV5qs7RlsHR8OV8UhqKbYL7me8SR2V1juaEUtKWXecauVpOmXxyG4xsK9Ng2cmU6ePwoLn51VrhjbBdI_ImbunAqpXfqw2xjvCiakfMcDxZHV-UMEpX_B]	 Status: [Existing]
[Thu Jan 21 19:15:19 2016]	[client: 112.208.32.15] [file: core.class.php] - [Device ID: 2a33113aa9d51008, Platform: android, PUSH ID: APA91bFYb11tubJpg8dkndIpV5qs7RlsHR8OV8UhqKbYL7me8SR2V1juaEUtKWXecauVpOmXxyG4xsK9Ng2cmU6ePwoLn51VrhjbBdI_ImbunAqpXfqw2xjvCiakfMcDxZHV-UMEpX_B]	 Status: [Existing]
