[Sun Jan 17 19:30:37 2016]	[client: 112.198.98.35] [file: core.class.php] - [Device ID: a87157052294aa11, Platform: android, PUSH ID: APA91bH08gRKKXlqwl3YhU44hFjI4D2jQq0i9Xy9VZmmKvs3H6KzBua5F4jwdyCP8GpEEAlGp0VuRWqOi4WtIqOIFey7Lg0mdLRe2mrKIMSeB8NlrqpkQZIstKgSwjEj1oMGDdAzapql]	 Status: [Existing]
[Sun Jan 17 19:30:38 2016]	[client: 112.198.98.35] [file: core.class.php] - [Device ID: a87157052294aa11, Platform: android, PUSH ID: APA91bH08gRKKXlqwl3YhU44hFjI4D2jQq0i9Xy9VZmmKvs3H6KzBua5F4jwdyCP8GpEEAlGp0VuRWqOi4WtIqOIFey7Lg0mdLRe2mrKIMSeB8NlrqpkQZIstKgSwjEj1oMGDdAzapql]	 Status: [Existing]
[Sun Jan 17 19:35:15 2016]	[client: 112.198.98.32] [file: core.class.php] - [Device ID: 9b4cfe2c76ba93bf, Platform: android, PUSH ID: APA91bGm_8TyTPkRb8a-TdTS0AmDmW6Gu5-axSRQuztN4x42CUL8zcib6M8AaL2fxEcjI5_6XlCM-_MRspETwo54lLoa2zCS6KKk-yEjBXZvPlUXhcCbMeU9A1TFfR5mO6hqz-Kcb8ot]	 Status: [Existing]
[Sun Jan 17 19:35:15 2016]	[client: 112.198.98.32] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: 9b4cfe2c76ba93bf, Platform: android, PUSH ID: APA91bGm_8TyTPkRb8a-TdTS0AmDmW6Gu5-axSRQuztN4x42CUL8zcib6M8AaL2fxEcjI5_6XlCM-_MRspETwo54lLoa2zCS6KKk-yEjBXZvPlUXhcCbMeU9A1TFfR5mO6hqz-Kcb8ot]
[Sun Jan 17 19:35:16 2016]	[client: 112.198.98.35] [file: core.class.php] - [Device ID: a87157052294aa11, Platform: android, PUSH ID: APA91bH08gRKKXlqwl3YhU44hFjI4D2jQq0i9Xy9VZmmKvs3H6KzBua5F4jwdyCP8GpEEAlGp0VuRWqOi4WtIqOIFey7Lg0mdLRe2mrKIMSeB8NlrqpkQZIstKgSwjEj1oMGDdAzapql]	 Status: [Existing]
[Sun Jan 17 19:35:17 2016]	[client: 112.198.98.35] [file: core.class.php] - [Device ID: a87157052294aa11, Platform: android, PUSH ID: APA91bH08gRKKXlqwl3YhU44hFjI4D2jQq0i9Xy9VZmmKvs3H6KzBua5F4jwdyCP8GpEEAlGp0VuRWqOi4WtIqOIFey7Lg0mdLRe2mrKIMSeB8NlrqpkQZIstKgSwjEj1oMGDdAzapql]	 Status: [Existing]
[Sun Jan 17 19:38:00 2016]	[client: 112.198.83.215] [file: core.class.php] - [Device ID: fe011a58a93b477b, Platform: android, PUSH ID: APA91bGD-bEwXh3fxoNZkJEarb-j0A9sQ9vbI9yNP0nW3Dp-zIs9te_d7h06pT_JvdElQ6pi5HWmImbVw6EdmGOH73CjBYY4e2dtFrmV5b0lPgT9JYTFDbhpQ199VFsTVdZjNoRk_tuS]	 Status: [Success]
[Sun Jan 17 19:57:13 2016]	[client: 112.198.102.198] [file: core.class.php] - [Device ID: a3ba3f364574554e, Platform: android, PUSH ID: APA91bFz6_NVdSfQmVSextsLsvMTs0Ob99px5LGalhslROBQ6hFRcxzKHwshgyrqFacCbqKSWbroeIBEw-zpRupJgtAPdBMQ01Jxis4T-H_3RVBpqK2ZTdxjmFtUoyMHlXApPDBdWLW7]	 Status: [Success]
[Sun Jan 17 19:57:13 2016]	[client: 112.198.102.198] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: a3ba3f364574554e, Platform: android, PUSH ID: APA91bFz6_NVdSfQmVSextsLsvMTs0Ob99px5LGalhslROBQ6hFRcxzKHwshgyrqFacCbqKSWbroeIBEw-zpRupJgtAPdBMQ01Jxis4T-H_3RVBpqK2ZTdxjmFtUoyMHlXApPDBdWLW7]
[Sun Jan 17 20:00:54 2016]	[client: 112.198.102.198] [file: core.class.php] - [Device ID: a3ba3f364574554e, Platform: android, PUSH ID: APA91bFz6_NVdSfQmVSextsLsvMTs0Ob99px5LGalhslROBQ6hFRcxzKHwshgyrqFacCbqKSWbroeIBEw-zpRupJgtAPdBMQ01Jxis4T-H_3RVBpqK2ZTdxjmFtUoyMHlXApPDBdWLW7]	 Status: [Existing]
