[Thu Feb 04 10:27:22 2016]	[client: 124.107.17.114] [file: core.class.php] - [Device ID: AFA5B207-CD9B-4756-9A47-9C9097176D33, Platform: ios, PUSH ID: aa89bf95026aaf203d72ba355c891d3652089ad0fd0e7a7ca1b1fd0c8662afa9]	 Status: [Success]
[Thu Feb 04 10:29:28 2016]	[client: 124.107.17.114] [file: core.class.php] - [Device ID: 29808dbea08ce415, Platform: android, PUSH ID: APA91bEVioJuI3C9qIO6Nev1tBo2yi_2pIfuWJZC9LWFRk3Os8tvFh0za4fFF8uH0QWpu6DgwTz-4q1jkx8KxR-WoWKgwzP--mx8nvlDQWDXZEntSIZfgj-8Ss_qPcevoUmwJ6yd3n31]	 Status: [Success]
[Thu Feb 04 10:29:29 2016]	[client: 124.107.17.114] [file: core.class.php] - [Device ID: 29808dbea08ce415, Platform: android, PUSH ID: APA91bEVioJuI3C9qIO6Nev1tBo2yi_2pIfuWJZC9LWFRk3Os8tvFh0za4fFF8uH0QWpu6DgwTz-4q1jkx8KxR-WoWKgwzP--mx8nvlDQWDXZEntSIZfgj-8Ss_qPcevoUmwJ6yd3n31]	 Status: [Existing]
[Thu Feb 04 10:32:33 2016]	[client: 124.107.17.114] [file: core.class.php] - [Device ID: 955c27ff5c68948b, Platform: android, PUSH ID: APA91bGg3zjZootkwgv1ZCNbfrarTFswtJ0iLf1lJBK1iXVtAIu6odx1w-Lm-KyivQvxFnNWqpJs_BFNvI9OYdywv0rU3x8jvSMS_sGye7l1YilHC_4V5CzhubdwGfnn1kqq6xjOPZAT]	 Status: [Success]
[Thu Feb 04 10:33:14 2016]	[client: 124.107.17.114] [file: core.class.php] - [Device ID: 2d1bbbe4160982ac, Platform: android, PUSH ID: APA91bGaSOIoRlRxllSPVr1FPDm3DVsK04uvhOU--k9WQMgofLx3ujmvilcBqkcLjR1Ku6oY0tfiiSEDCWKtkPehBBgEWI53la3Oy-ZKvg1LeJB4WECApDjGVRf2q7dk_y92k0E9ay9x]	 Status: [Existing]
[Thu Feb 04 10:33:15 2016]	[client: 124.107.17.114] [file: core.class.php] - [Device ID: 2d1bbbe4160982ac, Platform: android, PUSH ID: APA91bGaSOIoRlRxllSPVr1FPDm3DVsK04uvhOU--k9WQMgofLx3ujmvilcBqkcLjR1Ku6oY0tfiiSEDCWKtkPehBBgEWI53la3Oy-ZKvg1LeJB4WECApDjGVRf2q7dk_y92k0E9ay9x]	 Status: [Existing]
[Thu Feb 04 11:00:42 2016]	[client: 122.3.18.134] [file: core.class.php] - [Device ID: 97188d3bc3867b91, Platform: android, PUSH ID: APA91bFcjYjSUdglocs4dxhZRmKOkaMDXtAJYOoN1ZeS54STxj5Gq-cz1wggAOBq_JXIGExK7QhyvYndrpbpgGVFj0dEMunKJva-BhpwMLl1wTCseJVg6eGAVodKKpqDhXFmnbufHbOj]	 Status: [Existing]
[Thu Feb 04 11:00:45 2016]	[client: 122.3.18.134] [file: core.class.php] - [Device ID: 97188d3bc3867b91, Platform: android, PUSH ID: APA91bFcjYjSUdglocs4dxhZRmKOkaMDXtAJYOoN1ZeS54STxj5Gq-cz1wggAOBq_JXIGExK7QhyvYndrpbpgGVFj0dEMunKJva-BhpwMLl1wTCseJVg6eGAVodKKpqDhXFmnbufHbOj]	 Status: [Existing]
[Thu Feb 04 12:27:52 2016]	[client: 112.198.101.182] [file: core.class.php] - [Device ID: 985538e3b8d6fcff, Platform: android, PUSH ID: APA91bGv0LokYElrhWArxdeMj-VtadcwQDHVmTgCienQWb0nyzlaMXZAjP4rQzQyt1FLl3d8G_Nt5LBEqSc0OUqxLws8tN9ip97lbxMB5u5AWZRE5CPthCIRgFHCtj9vEBAPpNCm-tfa]	 Status: [Existing]
[Thu Feb 04 12:27:53 2016]	[client: 112.198.101.182] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: 985538e3b8d6fcff, Platform: android, PUSH ID: APA91bGv0LokYElrhWArxdeMj-VtadcwQDHVmTgCienQWb0nyzlaMXZAjP4rQzQyt1FLl3d8G_Nt5LBEqSc0OUqxLws8tN9ip97lbxMB5u5AWZRE5CPthCIRgFHCtj9vEBAPpNCm-tfa]
[Thu Feb 04 16:02:30 2016]	[client: 112.198.103.228] [file: core.class.php] - [Device ID: f7aab32e2d5c2bcf, Platform: android, PUSH ID: APA91bGQ1zBD6q0QAQI4rUlAzjvdjJBf1yHJs8XhOmh99if2Jaoj3MWO2dd51jRjWdvZ-B6nsjC7O2rpOrGZ_I68ZFBXVKCVcngOTZqEjyT-UdDK886tmRnyt1KzISKA5naTeOOPRvsx]	 Status: [Existing]
[Thu Feb 04 16:02:31 2016]	[client: 112.198.103.228] [file: core.class.php] - [Device ID: f7aab32e2d5c2bcf, Platform: android, PUSH ID: APA91bGQ1zBD6q0QAQI4rUlAzjvdjJBf1yHJs8XhOmh99if2Jaoj3MWO2dd51jRjWdvZ-B6nsjC7O2rpOrGZ_I68ZFBXVKCVcngOTZqEjyT-UdDK886tmRnyt1KzISKA5naTeOOPRvsx]	 Status: [Existing]
[Thu Feb 04 17:04:57 2016]	[client: 112.200.175.242] [file: core.class.php] - [Device ID: ec0c23754b35bee0, Platform: android, PUSH ID: APA91bHB7hE6oTy-Pk69pSUmQPPuqjfognHrWxw2H6tUUpzrvIqRNZZ1vq74g-Fln5zFcrgvGCeMal1wE_Zy-fYN1vN8GfornOpF0nI_fQDqFuLJ1CGDYF6wZ9_HWcO8LQCb8FkwLNd4]	 Status: [Existing]
[Thu Feb 04 17:04:57 2016]	[client: 112.200.175.242] [file: core.class.php] - [Device ID: ec0c23754b35bee0, Platform: android, PUSH ID: APA91bHB7hE6oTy-Pk69pSUmQPPuqjfognHrWxw2H6tUUpzrvIqRNZZ1vq74g-Fln5zFcrgvGCeMal1wE_Zy-fYN1vN8GfornOpF0nI_fQDqFuLJ1CGDYF6wZ9_HWcO8LQCb8FkwLNd4]	 Status: [Existing]
[Thu Feb 04 17:18:11 2016]	[client: 120.28.191.1] [file: core.class.php] - [Device ID: C9B893A0-672C-4981-B86E-D14A7F77BE28, Platform: ios, PUSH ID: 32795c46082738dbf0333e1e44e45067d29e5e0028b43678daf71258a086d545]	 Status: [Success]
[Thu Feb 04 17:18:30 2016]	[client: 120.28.191.8] [file: core.class.php] - [Device ID: ED874A7A-8DD1-45D1-8748-A6164127ED11, Platform: ios, PUSH ID: a7c0ee08c4ab496566b12787b51c289072f21f3bcd8c35457c2c0e4bbc5ba22c]	 Status: [Success]
[Thu Feb 04 18:04:29 2016]	[client: 124.107.15.105] [file: core.class.php] - [Device ID: dd0ee66bb42313cc, Platform: android, PUSH ID: APA91bHgiUnZPhSvvXfeN1apLTSXzkigpjpHGYicM1mUtJq2jtHYIOZ_qIwgEQFXyWfzgj-bzucalTXwjyksjfQi697wE65FC3YMzVlUf_jwWYXgfI3_BOrdWljtjTTtaz8cPZMA_DIg]	 Status: [Existing]
[Thu Feb 04 18:04:29 2016]	[client: 124.107.15.105] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: dd0ee66bb42313cc, Platform: android, PUSH ID: APA91bHgiUnZPhSvvXfeN1apLTSXzkigpjpHGYicM1mUtJq2jtHYIOZ_qIwgEQFXyWfzgj-bzucalTXwjyksjfQi697wE65FC3YMzVlUf_jwWYXgfI3_BOrdWljtjTTtaz8cPZMA_DIg]
[Thu Feb 04 18:26:32 2016]	[client: 124.107.17.114] [file: core.class.php] - [Device ID: 355d2a562cdf8682, Platform: android, PUSH ID: APA91bFm8E8Vgt7LoT4SN5vfmR3dfTH1HigBK56xnS8saihuKgczStTrpdiLycRg6PyljBEPRYHwJsIm7ZrugKbdlwXx5cb8UHwQr0LuadI0sM-j55GTMCnXu-M9Z7OHJSAsUcqvHoCm]	 Status: [Success]
[Thu Feb 04 18:26:33 2016]	[client: 124.107.17.114] [file: core.class.php] - [Device ID: 355d2a562cdf8682, Platform: android, PUSH ID: APA91bFm8E8Vgt7LoT4SN5vfmR3dfTH1HigBK56xnS8saihuKgczStTrpdiLycRg6PyljBEPRYHwJsIm7ZrugKbdlwXx5cb8UHwQr0LuadI0sM-j55GTMCnXu-M9Z7OHJSAsUcqvHoCm]	 Status: [Existing]
[Thu Feb 04 18:40:07 2016]	[client: 124.107.17.114] [file: core.class.php] - [Device ID: EDE1B7CB-BFF6-408F-AB48-A818FDD94672, Platform: ios, PUSH ID: c3b3c93d06d33f84359628f7ce303fc99b8cc5e3ba1b7c7917625b1acafd6994]	 Status: [Success]
[Thu Feb 04 18:43:35 2016]	[client: 112.208.59.251] [file: core.class.php] - [Device ID: 9b4cfe2c76ba93bf, Platform: android, PUSH ID: APA91bGm_8TyTPkRb8a-TdTS0AmDmW6Gu5-axSRQuztN4x42CUL8zcib6M8AaL2fxEcjI5_6XlCM-_MRspETwo54lLoa2zCS6KKk-yEjBXZvPlUXhcCbMeU9A1TFfR5mO6hqz-Kcb8ot]	 Status: [Existing]
