[Mon Feb 01 18:40:54 2016]	[client: 112.201.233.5] [file: core.class.php] - [Device ID: c7e8b2ed52a2ce2e, Platform: android, PUSH ID: APA91bEJ_A6YhiPnATlkNQUKbI7esvAQGqp8n09jrgGAI5xz9LjdBaygdphC3Lqev8b6meGIFhEjlOkQevl2bpBm5xfIIa1141qXaIvxGoPgLq6WJWOkyjBETjYwhG83ts7TbAlpe70J]	 Status: [Existing]
[Mon Feb 01 18:40:55 2016]	[client: 112.201.233.5] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: c7e8b2ed52a2ce2e, Platform: android, PUSH ID: APA91bEJ_A6YhiPnATlkNQUKbI7esvAQGqp8n09jrgGAI5xz9LjdBaygdphC3Lqev8b6meGIFhEjlOkQevl2bpBm5xfIIa1141qXaIvxGoPgLq6WJWOkyjBETjYwhG83ts7TbAlpe70J]
[Mon Feb 01 18:42:08 2016]	[client: 124.107.17.114] [file: core.class.php] - [Device ID: dd0ee66bb42313cc, Platform: android, PUSH ID: APA91bHgiUnZPhSvvXfeN1apLTSXzkigpjpHGYicM1mUtJq2jtHYIOZ_qIwgEQFXyWfzgj-bzucalTXwjyksjfQi697wE65FC3YMzVlUf_jwWYXgfI3_BOrdWljtjTTtaz8cPZMA_DIg]	 Status: [Existing]
[Mon Feb 01 18:42:09 2016]	[client: 124.107.17.114] [file: core.class.php] - [Device ID: dd0ee66bb42313cc, Platform: android, PUSH ID: APA91bHgiUnZPhSvvXfeN1apLTSXzkigpjpHGYicM1mUtJq2jtHYIOZ_qIwgEQFXyWfzgj-bzucalTXwjyksjfQi697wE65FC3YMzVlUf_jwWYXgfI3_BOrdWljtjTTtaz8cPZMA_DIg]	 Status: [Existing]
[Mon Feb 01 18:46:10 2016]	[client: 119.94.227.202] [file: core.class.php] - [Device ID: b813d91599859be5, Platform: android, PUSH ID: APA91bH_bT2Gk0r14QcJFskl2-i1JnQ4Qa4ti2LjHzkbwJGttubPNSleawQ-xtWmfO_Wug5p87AIqXz5VdlbEFztS6n3Mw4ioyhuTh7lem4qwg_b6Q1iONmDy1YTIgC0UpbFGXiuQmOP]	 Status: [Success]
[Mon Feb 01 18:46:11 2016]	[client: 119.94.227.202] [file: core.class.php] - [Device ID: b813d91599859be5, Platform: android, PUSH ID: APA91bH_bT2Gk0r14QcJFskl2-i1JnQ4Qa4ti2LjHzkbwJGttubPNSleawQ-xtWmfO_Wug5p87AIqXz5VdlbEFztS6n3Mw4ioyhuTh7lem4qwg_b6Q1iONmDy1YTIgC0UpbFGXiuQmOP]	 Status: [Existing]
[Mon Feb 01 18:46:41 2016]	[client: 119.94.227.202] [file: core.class.php] - [Device ID: ca8856bc03a04c7c, Platform: android, PUSH ID: APA91bFxfNe-r6O0pSoNHnnd0MaMjuO_95TSSEqw-5zcYaO_HSLG1D6E1Gmzj2AA0J8fpHbm3jj5OnIdsWNFkIV7gS0xveZuf-b0ZrjPwc5jpALzpP7L8jyr-3xSOEOjRrEy6m1ciz8T]	 Status: [Success]
[Mon Feb 01 18:46:44 2016]	[client: 119.94.227.202] [file: core.class.php] - [Device ID: ca8856bc03a04c7c, Platform: android, PUSH ID: APA91bFxfNe-r6O0pSoNHnnd0MaMjuO_95TSSEqw-5zcYaO_HSLG1D6E1Gmzj2AA0J8fpHbm3jj5OnIdsWNFkIV7gS0xveZuf-b0ZrjPwc5jpALzpP7L8jyr-3xSOEOjRrEy6m1ciz8T]	 Status: [Existing]
[Mon Feb 01 18:47:18 2016]	[client: 119.94.227.202] [file: core.class.php] - [Device ID: ac3f667666d88ecd, Platform: android, PUSH ID: APA91bF1kG2TMvcQLdS3VULlWiIVNBjCWKzyzuKHByn1LJii0WchuqdGPAfwGjrMcQmUiGB7guDslw0oWKaJymei7uYbLMMM-wJwrVxksG1R9e8wqg6NdBoRhILeH9XQ7_gzDXyVE866]	 Status: [Success]
[Mon Feb 01 18:47:18 2016]	[client: 119.94.227.202] [file: core.class.php] - [Device ID: ac3f667666d88ecd, Platform: android, PUSH ID: APA91bF1kG2TMvcQLdS3VULlWiIVNBjCWKzyzuKHByn1LJii0WchuqdGPAfwGjrMcQmUiGB7guDslw0oWKaJymei7uYbLMMM-wJwrVxksG1R9e8wqg6NdBoRhILeH9XQ7_gzDXyVE866]	 Status: [Existing]
